"Name","API Name","Memory","Storage","EBS Throughput","Processor","vCPUs","Network Performance","Arch","Amazon Aurora On Demand cost","Amazon Aurora Reserved cost","MariaDB On Demand cost","MariaDB Reserved cost","MySQL On Demand cost","MySQL Reserved cost","Oracle On Demand cost","Oracle Reserved cost","PostgreSQL On Demand cost","PostgreSQL Reserved cost","SQL Server On Demand cost","SQL Server Reserved cost"
"DB R3","db.r3.large","15.25 GB","1 x 32 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","2 vCPUs","Moderate","64-bit","$0.350 hourly","unavailable","$0.285 hourly","unavailable","$0.285 hourly","unavailable","$0.525 hourly","unavailable","$0.300 hourly","unavailable","$0.400 hourly","unavailable"
"DB R3","db.r3.xlarge","30.5 GB","1 x 80 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","4 vCPUs","Moderate","64-bit","$0.700 hourly","unavailable","$0.570 hourly","unavailable","$0.570 hourly","unavailable","$0.570 hourly","unavailable","$0.600 hourly","unavailable","$0.800 hourly","unavailable"
"DB M2","db.m2.2xlarge","34.2 GB","1 x 850","N/A","Intel Xeon Family","4 vCPUs","Moderate","64-bit","unavailable","unavailable","unavailable","unavailable","$0.765 hourly","unavailable","$0.765 hourly","unavailable","$0.795 hourly","unavailable","$1.830 hourly","unavailable"
"DB M3","db.m3.2xlarge","30 GB","2 x 80 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","8 vCPUs","High","64-bit","unavailable","unavailable","$0.965 hourly","unavailable","$0.965 hourly","unavailable","$0.965 hourly","unavailable","$1.000 hourly","unavailable","$1.680 hourly","unavailable"
"DB M4","db.m4.2xlarge","32 GB","0 GB (EBS only)","1000 Mbps","Intel Xeon E5-2676 v3 (Haswell)","8 vCPUs","High","64-bit","unavailable","unavailable","$0.984 hourly","unavailable","$0.984 hourly","unavailable","$0.984 hourly","unavailable","$1.026 hourly","unavailable","$1.495 hourly","unavailable"
"DB R3","db.r3.2xlarge","61 GB","1 x 160 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","8 vCPUs","High","64-bit","$1.400 hourly","unavailable","$1.135 hourly","unavailable","$1.135 hourly","unavailable","$1.135 hourly","unavailable","$1.195 hourly","unavailable","$3.255 hourly","unavailable"
"DB M1","db.m1.xlarge","15 GB","4 x 420","N/A","Intel Xeon Family","4 vCPUs","High","64-bit","unavailable","unavailable","unavailable","unavailable","$0.580 hourly","unavailable","$1.161 hourly","unavailable","$0.605 hourly","unavailable","$0.860 hourly","unavailable"
"DB M2","db.m2.4xlarge","68.4 GB","2 x 840","N/A","Intel Xeon Family","8 vCPUs","High","64-bit","unavailable","unavailable","unavailable","unavailable","$1.525 hourly","unavailable","$1.525 hourly","unavailable","$1.595 hourly","unavailable","$1.825 hourly","unavailable"
"DB R3","db.r3.4xlarge","122 GB","1 x 320 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","16 vCPUs","High","64-bit","$2.800 hourly","unavailable","$2.270 hourly","unavailable","$2.270 hourly","unavailable","$4.200 hourly","unavailable","$2.390 hourly","unavailable","$3.040 hourly","unavailable"
"DB M4","db.m4.4xlarge","64 GB","0 GB (EBS only)","2000 Mbps","Intel Xeon E5-2676 v3 (Haswell)","16 vCPUs","High","64-bit","unavailable","unavailable","$1.968 hourly","unavailable","$1.968 hourly","unavailable","$4.254 hourly","unavailable","$2.053 hourly","unavailable","$2.818 hourly","unavailable"
"DB R3","db.r3.8xlarge","244 GB","2 x 320 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","32 vCPUs","10 Gigabit","64-bit","$5.600 hourly","unavailable","$4.540 hourly","unavailable","$4.540 hourly","unavailable","$4.540 hourly","unavailable","$4.775 hourly","unavailable","$5.780 hourly","unavailable"
"DB M4","db.m4.10xlarge","160 GB","0 GB (EBS only)","4000 Mbps","Intel Xeon E5-2676 v3 (Haswell)","40 vCPUs","10 Gigabit","64-bit","unavailable","unavailable","$4.920 hourly","unavailable","$4.920 hourly","unavailable","$4.920 hourly","unavailable","$5.133 hourly","unavailable","$7.476 hourly","unavailable"
"DB Cr1","db.cr1.8xl","244 GB","2 x 120 SSD","N/A","Intel Xeon E5-2670","32 vCPUs","10 Gigabit","64-bit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
